index,provinceEnglishName,province_confirmedCount,province_curedCount,province_deadCount,updateTime
823,Hubei,67803,64363,3221,2020/4/14
824,Heilongjiang,819,470,13,2020/4/14
825,Shandong,784,759,7,2020/4/14
826,Henan,1276,1254,22,2020/4/14
827,Liaoning,145,138,2,2020/4/14
828,Yunnan,184,175,2,2020/4/14
829,Neimenggu,190,91,1,2020/4/14
830,Tianjin,184,164,3,2020/4/13
831,Hong Kong,1009,360,4,2020/4/13
832,Taiwan,393,109,6,2020/4/13
833,Heilongjiang,740,470,13,2020/4/13
834,Hubei,67803,64338,3221,2020/4/13
835,Shanghai,618,446,7,2020/4/13
836,Neimenggu,190,83,1,2020/4/13
837,Beijing,589,484,8,2020/4/13
838,Guangdong,1555,1454,8,2020/4/13
839,Zhejiang,1267,1239,1,2020/4/13
840,Fujian,352,325,1,2020/4/13
841,Shandong,784,758,7,2020/4/13
842,Sichuan,560,548,3,2020/4/13
843,Jilin,100,96,1,2020/4/13
844,Shanxi,173,135,0,2020/4/13
845,Tianjin,183,161,3,2020/4/12
846,Macau,45,13,0,2020/4/12
847,Hong Kong,1004,360,4,2020/4/12
848,Neimenggu,189,83,1,2020/4/12
849,Taiwan,388,109,6,2020/4/12
850,Shanghai,607,446,7,2020/4/12
851,Hubei,67803,64281,3219,2020/4/12
852,Heilongjiang,684,470,13,2020/4/12
853,Beijing,589,479,8,2020/4/12
854,Guangdong,1552,1443,8,2020/4/12
855,Fujian,352,321,1,2020/4/12
856,Zhejiang,1267,1238,1,2020/4/12
857,Jiangsu,653,638,0,2020/4/12
858,Liaoning,145,136,2,2020/4/12
859,Jilin,99,96,1,2020/4/12
860,Henan,1276,1253,22,2020/4/12
861,Tianjin,183,161,3,2020/4/11
862,Hong Kong,1000,336,4,2020/4/11
863,Shanghai,555,438,7,2020/4/11
864,Taiwan,385,99,6,2020/4/11
865,Neimenggu,155,79,1,2020/4/11
866,Zhejiang,1267,1236,1,2020/4/11
867,Fujian,351,317,1,2020/4/11
868,Hubei,67803,64264,3219,2020/4/11
869,Guangdong,1548,1437,8,2020/4/11
870,Jiangsu,652,636,0,2020/4/11
871,Shaanxi,256,248,3,2020/4/11
872,Beijing,589,474,8,2020/4/11
873,Sichuan,560,547,3,2020/4/11
874,Shandong,784,757,7,2020/4/11
875,Heilongjiang,661,470,13,2020/4/11
876,Liaoning,145,133,2,2020/4/11
877,Jilin,98,96,1,2020/4/11
878,Shanxi,172,135,0,2020/4/11
879,Yunnan,184,174,2,2020/4/11
880,Tianjin,183,158,3,2020/4/10
